etiqueta,delito,sexo,alcaldia_hecho,hora_clasificada,edad_categorizada,tiempo-respuesta
1,11.0,1.0,12.0,4.0,3.0,1.0
2,23.0,1.0,9.0,4.0,3.0,1.0
2,21.0,2.0,16.0,4.0,3.0,1.0
1,13.0,2.0,5.0,4.0,3.0,4.0
2,23.0,1.0,15.0,4.0,3.0,2.0
1,11.0,1.0,3.0,4.0,3.0,1.0
3,34.0,1.0,2.0,4.0,3.0,3.0
2,23.0,2.0,15.0,4.0,3.0,1.0
2,21.0,1.0,11.0,4.0,3.0,2.0
1,11.0,1.0,8.0,4.0,3.0,1.0
2,23.0,1.0,7.0,4.0,3.0,4.0
2,21.0,1.0,7.0,4.0,3.0,2.0
2,23.0,2.0,13.0,4.0,3.0,1.0
2,23.0,1.0,10.0,4.0,3.0,2.0
3,34.0,1.0,17.0,4.0,3.0,1.0
2,21.0,1.0,10.0,4.0,3.0,4.0
2,23.0,2.0,5.0,4.0,3.0,2.0
1,13.0,2.0,7.0,4.0,3.0,1.0
2,22.0,1.0,15.0,4.0,3.0,1.0
2,23.0,1.0,17.0,4.0,3.0,1.0
2,23.0,1.0,15.0,4.0,3.0,1.0
2,23.0,1.0,12.0,4.0,3.0,4.0
2,21.0,1.0,7.0,4.0,3.0,3.0
3,33.0,1.0,10.0,4.0,3.0,1.0
2,23.0,2.0,16.0,4.0,3.0,2.0
2,21.0,1.0,14.0,4.0,3.0,4.0
2,21.0,2.0,14.0,4.0,3.0,2.0
2,23.0,1.0,7.0,4.0,3.0,4.0
2,22.0,1.0,15.0,4.0,3.0,2.0
2,23.0,1.0,10.0,4.0,4.0,1.0
2,24.0,1.0,2.0,4.0,3.0,2.0
2,23.0,1.0,7.0,4.0,3.0,1.0
2,23.0,2.0,3.0,4.0,3.0,1.0
2,23.0,1.0,10.0,4.0,3.0,1.0
2,23.0,1.0,6.0,4.0,3.0,1.0
2,23.0,2.0,11.0,4.0,3.0,1.0
2,23.0,1.0,3.0,4.0,3.0,3.0
2,23.0,1.0,16.0,4.0,3.0,1.0
2,21.0,1.0,3.0,4.0,3.0,4.0
3,31.0,2.0,15.0,4.0,3.0,2.0
1,13.0,2.0,11.0,4.0,2.0,4.0
2,23.0,2.0,5.0,4.0,3.0,1.0
2,22.0,1.0,12.0,4.0,3.0,3.0
2,21.0,1.0,7.0,4.0,3.0,2.0
3,34.0,1.0,7.0,4.0,3.0,2.0
1,13.0,1.0,10.0,4.0,1.0,4.0
2,22.0,1.0,13.0,4.0,3.0,2.0
1,13.0,2.0,12.0,4.0,3.0,4.0
2,23.0,2.0,3.0,4.0,3.0,3.0
2,22.0,1.0,17.0,4.0,3.0,2.0
2,23.0,2.0,10.0,4.0,3.0,3.0
2,23.0,1.0,14.0,4.0,3.0,1.0
2,23.0,2.0,16.0,4.0,3.0,1.0
2,23.0,1.0,7.0,4.0,3.0,2.0
2,21.0,1.0,5.0,4.0,3.0,3.0
1,13.0,2.0,6.0,4.0,3.0,1.0
2,23.0,2.0,10.0,4.0,2.0,2.0
3,34.0,1.0,7.0,4.0,3.0,2.0
3,34.0,1.0,7.0,4.0,3.0,4.0
2,21.0,1.0,13.0,4.0,3.0,1.0
2,21.0,1.0,17.0,4.0,3.0,1.0
2,23.0,2.0,6.0,4.0,3.0,1.0
2,21.0,1.0,8.0,4.0,3.0,3.0
2,21.0,1.0,3.0,4.0,3.0,3.0
2,23.0,1.0,6.0,4.0,3.0,1.0
2,23.0,1.0,16.0,4.0,3.0,4.0
1,11.0,1.0,3.0,4.0,3.0,2.0
2,22.0,1.0,7.0,4.0,3.0,3.0
2,23.0,2.0,15.0,4.0,3.0,1.0
2,23.0,2.0,17.0,4.0,3.0,1.0
2,22.0,1.0,16.0,4.0,3.0,4.0
2,22.0,2.0,7.0,4.0,3.0,2.0
2,22.0,1.0,10.0,4.0,3.0,4.0
2,22.0,1.0,10.0,4.0,3.0,1.0
3,31.0,1.0,16.0,4.0,3.0,1.0
2,23.0,1.0,7.0,4.0,3.0,2.0
1,11.0,1.0,15.0,4.0,3.0,1.0
2,21.0,2.0,17.0,4.0,3.0,2.0
2,23.0,1.0,16.0,4.0,3.0,3.0
2,23.0,1.0,5.0,4.0,3.0,2.0
2,23.0,1.0,5.0,4.0,3.0,4.0
2,23.0,2.0,11.0,4.0,3.0,2.0
2,21.0,2.0,10.0,4.0,3.0,1.0
2,24.0,1.0,8.0,4.0,3.0,1.0
2,23.0,1.0,2.0,4.0,2.0,2.0
2,23.0,2.0,15.0,4.0,3.0,1.0
3,34.0,1.0,2.0,4.0,3.0,3.0
2,21.0,1.0,12.0,4.0,3.0,2.0
1,13.0,2.0,4.0,4.0,3.0,3.0
2,21.0,1.0,12.0,4.0,3.0,2.0
2,21.0,1.0,14.0,4.0,3.0,1.0
2,23.0,1.0,10.0,4.0,3.0,3.0
2,23.0,1.0,5.0,4.0,3.0,2.0
2,21.0,1.0,3.0,4.0,3.0,1.0
2,23.0,2.0,16.0,4.0,3.0,4.0
2,21.0,1.0,7.0,4.0,3.0,1.0
2,22.0,1.0,7.0,4.0,3.0,2.0
1,12.0,1.0,3.0,4.0,3.0,1.0
2,21.0,1.0,3.0,4.0,3.0,2.0
2,21.0,2.0,3.0,4.0,4.0,3.0
1,11.0,1.0,15.0,4.0,3.0,1.0
2,21.0,1.0,13.0,4.0,3.0,1.0
2,23.0,1.0,12.0,4.0,3.0,2.0
2,22.0,2.0,17.0,4.0,3.0,3.0
2,23.0,2.0,2.0,4.0,3.0,1.0
2,23.0,2.0,10.0,4.0,2.0,1.0
3,31.0,1.0,14.0,4.0,3.0,1.0
2,21.0,1.0,14.0,4.0,3.0,1.0
2,21.0,1.0,5.0,4.0,3.0,1.0
3,31.0,1.0,15.0,4.0,3.0,1.0
2,21.0,1.0,16.0,4.0,3.0,1.0
2,22.0,1.0,7.0,4.0,3.0,2.0
3,31.0,2.0,15.0,4.0,3.0,4.0
2,21.0,1.0,12.0,4.0,3.0,1.0
2,23.0,1.0,15.0,4.0,3.0,1.0
2,23.0,2.0,17.0,4.0,3.0,1.0
1,12.0,1.0,11.0,4.0,3.0,1.0
2,23.0,1.0,3.0,4.0,3.0,4.0
2,21.0,1.0,15.0,4.0,3.0,1.0
3,34.0,1.0,10.0,4.0,3.0,2.0
2,23.0,2.0,5.0,4.0,3.0,2.0
2,21.0,1.0,5.0,4.0,3.0,1.0
2,23.0,1.0,7.0,4.0,3.0,1.0
3,34.0,1.0,12.0,4.0,3.0,2.0
3,31.0,1.0,14.0,4.0,3.0,4.0
2,21.0,1.0,2.0,4.0,3.0,3.0
2,23.0,1.0,17.0,4.0,3.0,3.0
2,21.0,1.0,12.0,4.0,3.0,1.0
2,23.0,1.0,14.0,4.0,4.0,2.0
3,35.0,1.0,6.0,4.0,3.0,3.0
2,24.0,2.0,14.0,4.0,3.0,1.0
3,32.0,1.0,5.0,4.0,3.0,1.0
2,23.0,1.0,5.0,4.0,3.0,2.0
1,11.0,1.0,7.0,4.0,3.0,1.0
2,23.0,1.0,11.0,4.0,3.0,4.0
2,23.0,2.0,15.0,4.0,3.0,1.0
2,21.0,1.0,10.0,4.0,3.0,2.0
2,21.0,2.0,7.0,4.0,3.0,1.0
2,23.0,1.0,13.0,4.0,3.0,1.0
3,33.0,1.0,17.0,4.0,3.0,4.0
2,23.0,1.0,5.0,4.0,3.0,1.0
2,23.0,2.0,7.0,4.0,3.0,1.0
2,23.0,2.0,8.0,4.0,3.0,1.0
3,34.0,1.0,7.0,4.0,3.0,4.0
2,24.0,1.0,4.0,4.0,3.0,2.0
1,13.0,2.0,6.0,4.0,3.0,4.0
3,32.0,1.0,7.0,4.0,3.0,3.0
3,34.0,1.0,2.0,4.0,3.0,4.0
2,23.0,1.0,7.0,4.0,3.0,1.0
2,23.0,2.0,5.0,4.0,3.0,1.0
2,23.0,1.0,15.0,4.0,3.0,1.0
1,11.0,1.0,5.0,4.0,3.0,1.0
2,23.0,2.0,17.0,4.0,3.0,1.0
3,34.0,1.0,10.0,4.0,3.0,1.0
2,21.0,2.0,7.0,4.0,3.0,2.0
2,23.0,1.0,7.0,4.0,3.0,4.0
2,23.0,1.0,14.0,4.0,3.0,1.0
2,22.0,1.0,10.0,4.0,3.0,1.0
2,23.0,1.0,7.0,4.0,3.0,3.0
2,21.0,1.0,3.0,4.0,3.0,1.0
2,22.0,1.0,5.0,4.0,3.0,1.0
2,22.0,1.0,14.0,4.0,3.0,2.0
2,21.0,2.0,17.0,4.0,3.0,1.0
2,21.0,1.0,14.0,4.0,3.0,1.0
2,21.0,1.0,7.0,4.0,3.0,4.0
2,21.0,1.0,3.0,4.0,3.0,1.0
1,11.0,1.0,11.0,4.0,3.0,1.0
2,23.0,1.0,16.0,4.0,3.0,3.0
2,23.0,1.0,10.0,4.0,3.0,1.0
2,23.0,1.0,6.0,4.0,3.0,1.0
2,22.0,1.0,11.0,4.0,3.0,1.0
2,22.0,1.0,5.0,4.0,3.0,2.0
2,21.0,1.0,16.0,4.0,3.0,2.0
3,34.0,1.0,15.0,4.0,3.0,1.0
2,21.0,2.0,17.0,4.0,3.0,2.0
3,31.0,2.0,15.0,4.0,3.0,4.0
2,23.0,1.0,5.0,4.0,3.0,2.0
2,23.0,1.0,17.0,4.0,3.0,2.0
2,23.0,2.0,14.0,4.0,3.0,3.0
2,22.0,1.0,14.0,4.0,3.0,1.0
2,23.0,2.0,17.0,4.0,3.0,3.0
2,23.0,1.0,7.0,4.0,3.0,1.0
2,23.0,1.0,15.0,4.0,3.0,2.0
2,21.0,2.0,5.0,4.0,3.0,1.0
2,21.0,1.0,4.0,4.0,3.0,1.0
2,23.0,1.0,10.0,4.0,3.0,4.0
1,11.0,1.0,12.0,4.0,3.0,1.0
3,34.0,1.0,15.0,4.0,3.0,2.0
1,13.0,2.0,5.0,4.0,2.0,4.0
2,21.0,2.0,8.0,4.0,3.0,3.0
2,21.0,1.0,10.0,4.0,3.0,4.0
2,22.0,1.0,7.0,4.0,3.0,1.0
2,25.0,1.0,2.0,4.0,3.0,2.0
2,23.0,1.0,7.0,4.0,3.0,1.0
2,22.0,1.0,17.0,4.0,3.0,2.0
2,21.0,1.0,12.0,4.0,3.0,2.0
2,21.0,1.0,3.0,4.0,3.0,1.0
1,11.0,2.0,5.0,4.0,3.0,2.0
2,23.0,1.0,11.0,4.0,3.0,1.0
2,24.0,2.0,16.0,4.0,3.0,1.0
3,35.0,1.0,10.0,4.0,3.0,2.0
2,23.0,1.0,2.0,4.0,3.0,1.0
2,23.0,1.0,5.0,4.0,3.0,1.0
2,23.0,2.0,5.0,4.0,3.0,3.0
2,24.0,1.0,16.0,4.0,3.0,3.0
2,23.0,2.0,10.0,4.0,3.0,3.0
1,11.0,1.0,5.0,4.0,2.0,1.0
2,23.0,1.0,6.0,4.0,3.0,3.0
2,22.0,1.0,7.0,4.0,3.0,1.0
2,23.0,1.0,17.0,4.0,3.0,3.0
2,21.0,1.0,6.0,4.0,3.0,2.0
3,31.0,1.0,17.0,4.0,3.0,1.0
2,25.0,1.0,15.0,4.0,3.0,1.0
2,23.0,1.0,8.0,4.0,3.0,4.0
2,21.0,2.0,14.0,4.0,3.0,4.0
2,22.0,1.0,7.0,4.0,3.0,1.0
2,23.0,1.0,5.0,4.0,3.0,3.0
2,22.0,1.0,10.0,4.0,3.0,1.0
3,34.0,1.0,2.0,4.0,3.0,1.0
2,21.0,1.0,4.0,4.0,3.0,3.0
2,23.0,1.0,7.0,4.0,3.0,3.0
2,23.0,1.0,6.0,4.0,3.0,3.0
3,34.0,1.0,6.0,4.0,3.0,1.0
2,23.0,1.0,12.0,4.0,3.0,3.0
3,34.0,1.0,7.0,4.0,3.0,3.0
2,21.0,1.0,7.0,4.0,3.0,2.0
2,21.0,1.0,12.0,4.0,3.0,2.0
2,23.0,1.0,2.0,4.0,3.0,1.0
2,22.0,1.0,14.0,4.0,3.0,1.0
2,22.0,1.0,7.0,4.0,3.0,3.0
2,21.0,1.0,5.0,4.0,3.0,3.0
2,22.0,2.0,5.0,4.0,3.0,1.0
2,21.0,1.0,7.0,4.0,3.0,1.0
2,21.0,1.0,12.0,4.0,3.0,2.0
2,21.0,1.0,12.0,4.0,3.0,1.0
1,12.0,1.0,10.0,4.0,3.0,1.0
2,23.0,2.0,15.0,4.0,3.0,1.0
2,23.0,1.0,15.0,4.0,3.0,4.0
2,23.0,1.0,15.0,4.0,2.0,1.0
2,24.0,1.0,7.0,4.0,3.0,2.0
2,23.0,2.0,10.0,4.0,3.0,2.0
2,21.0,1.0,12.0,4.0,3.0,2.0
3,31.0,1.0,5.0,4.0,3.0,2.0
3,34.0,1.0,7.0,4.0,3.0,4.0
2,23.0,1.0,5.0,4.0,3.0,3.0
2,21.0,1.0,7.0,4.0,3.0,2.0
2,23.0,1.0,7.0,4.0,3.0,2.0
2,23.0,1.0,13.0,4.0,3.0,1.0
2,22.0,1.0,6.0,4.0,3.0,2.0
3,34.0,1.0,13.0,4.0,3.0,4.0
2,21.0,2.0,4.0,4.0,3.0,4.0
2,21.0,1.0,7.0,4.0,3.0,1.0
2,22.0,1.0,5.0,4.0,3.0,2.0
1,13.0,2.0,5.0,4.0,3.0,3.0
2,23.0,1.0,7.0,4.0,3.0,3.0
2,21.0,1.0,13.0,4.0,3.0,4.0
2,23.0,1.0,13.0,4.0,3.0,1.0
3,34.0,1.0,2.0,4.0,3.0,2.0
3,34.0,1.0,6.0,4.0,3.0,1.0
2,23.0,1.0,17.0,4.0,3.0,3.0
3,34.0,1.0,7.0,4.0,3.0,2.0
3,34.0,1.0,3.0,4.0,3.0,1.0
2,23.0,2.0,15.0,4.0,3.0,3.0
3,32.0,1.0,6.0,4.0,3.0,2.0
2,23.0,1.0,17.0,4.0,3.0,2.0
2,21.0,2.0,15.0,4.0,3.0,1.0
1,11.0,1.0,5.0,4.0,3.0,1.0
2,21.0,1.0,5.0,4.0,3.0,4.0
2,23.0,1.0,7.0,4.0,3.0,4.0
2,23.0,1.0,15.0,4.0,3.0,4.0
1,13.0,2.0,11.0,4.0,1.0,4.0
2,23.0,1.0,17.0,4.0,3.0,4.0
1,12.0,2.0,15.0,4.0,2.0,1.0
2,21.0,2.0,7.0,4.0,3.0,4.0
3,32.0,1.0,6.0,4.0,3.0,1.0
2,23.0,1.0,6.0,4.0,3.0,3.0
2,22.0,1.0,14.0,4.0,3.0,4.0
3,35.0,2.0,5.0,4.0,4.0,2.0
2,22.0,1.0,7.0,4.0,3.0,1.0
3,32.0,1.0,6.0,4.0,3.0,3.0
2,21.0,1.0,7.0,4.0,3.0,4.0
2,23.0,2.0,5.0,4.0,3.0,1.0
2,21.0,1.0,7.0,4.0,3.0,1.0
3,34.0,1.0,7.0,4.0,3.0,3.0
2,22.0,1.0,7.0,4.0,3.0,3.0
2,22.0,1.0,13.0,4.0,3.0,1.0
2,21.0,1.0,13.0,4.0,3.0,2.0
3,31.0,1.0,17.0,4.0,3.0,3.0
2,21.0,1.0,5.0,4.0,3.0,3.0
3,34.0,1.0,13.0,4.0,3.0,4.0
2,21.0,1.0,5.0,4.0,3.0,2.0
3,34.0,1.0,2.0,4.0,3.0,3.0
2,21.0,1.0,12.0,4.0,3.0,2.0
1,13.0,2.0,12.0,4.0,3.0,4.0
2,23.0,2.0,15.0,4.0,3.0,2.0
3,34.0,1.0,10.0,4.0,3.0,2.0
2,23.0,1.0,15.0,4.0,3.0,3.0
2,23.0,1.0,9.0,4.0,3.0,1.0
2,23.0,1.0,11.0,4.0,3.0,1.0
2,23.0,2.0,10.0,4.0,3.0,1.0
2,22.0,1.0,5.0,4.0,3.0,1.0
2,23.0,1.0,5.0,4.0,3.0,4.0
2,21.0,1.0,6.0,4.0,3.0,1.0
2,21.0,1.0,3.0,4.0,3.0,1.0
2,21.0,1.0,7.0,4.0,3.0,1.0
2,21.0,1.0,3.0,4.0,3.0,3.0
2,21.0,1.0,5.0,4.0,4.0,1.0
2,21.0,1.0,7.0,4.0,3.0,3.0
2,22.0,1.0,7.0,4.0,3.0,3.0
2,21.0,1.0,10.0,4.0,3.0,1.0
3,34.0,1.0,7.0,4.0,3.0,1.0
2,21.0,1.0,3.0,4.0,4.0,1.0
2,23.0,1.0,6.0,4.0,3.0,3.0
1,13.0,2.0,17.0,4.0,3.0,2.0
2,23.0,2.0,11.0,4.0,3.0,1.0
3,34.0,1.0,7.0,4.0,3.0,4.0
2,23.0,2.0,5.0,4.0,3.0,2.0
2,23.0,1.0,5.0,4.0,3.0,2.0
2,23.0,1.0,14.0,4.0,3.0,1.0
2,21.0,2.0,11.0,4.0,3.0,1.0
2,21.0,1.0,12.0,4.0,3.0,4.0
2,23.0,2.0,4.0,4.0,3.0,1.0
2,21.0,1.0,15.0,4.0,3.0,2.0
2,23.0,2.0,2.0,4.0,3.0,1.0
2,24.0,2.0,3.0,4.0,3.0,1.0
3,31.0,1.0,15.0,4.0,3.0,1.0
2,21.0,2.0,7.0,4.0,3.0,2.0
2,23.0,1.0,10.0,4.0,3.0,4.0
2,21.0,1.0,5.0,4.0,3.0,1.0
2,23.0,1.0,11.0,4.0,3.0,4.0
2,22.0,2.0,17.0,4.0,1.0,4.0
2,23.0,1.0,15.0,4.0,3.0,2.0
3,31.0,1.0,14.0,4.0,3.0,2.0
2,21.0,1.0,3.0,4.0,3.0,1.0
2,21.0,1.0,7.0,4.0,3.0,2.0
2,22.0,1.0,15.0,4.0,3.0,3.0
2,23.0,2.0,11.0,4.0,3.0,1.0
2,23.0,1.0,7.0,4.0,3.0,2.0
2,21.0,1.0,3.0,4.0,3.0,3.0
2,21.0,1.0,10.0,4.0,3.0,3.0
1,13.0,2.0,17.0,4.0,3.0,4.0
1,11.0,1.0,15.0,4.0,3.0,1.0
2,21.0,1.0,15.0,4.0,3.0,4.0
2,23.0,2.0,6.0,4.0,3.0,1.0
2,21.0,1.0,11.0,4.0,3.0,2.0
2,23.0,1.0,5.0,4.0,4.0,1.0
1,13.0,2.0,7.0,4.0,3.0,1.0
2,21.0,1.0,3.0,4.0,4.0,1.0
2,23.0,2.0,7.0,4.0,3.0,3.0
2,21.0,1.0,14.0,4.0,3.0,1.0
2,23.0,1.0,15.0,4.0,3.0,1.0
2,23.0,1.0,5.0,4.0,3.0,1.0
2,21.0,1.0,7.0,4.0,3.0,4.0
2,21.0,1.0,15.0,4.0,3.0,1.0
2,23.0,1.0,16.0,4.0,3.0,1.0
2,21.0,1.0,8.0,4.0,3.0,3.0
3,32.0,2.0,7.0,4.0,3.0,4.0
2,21.0,1.0,6.0,4.0,3.0,3.0
2,23.0,2.0,2.0,4.0,3.0,1.0
2,23.0,2.0,6.0,4.0,3.0,2.0
2,21.0,1.0,16.0,4.0,3.0,2.0
1,12.0,1.0,10.0,4.0,3.0,1.0
1,11.0,1.0,3.0,4.0,3.0,1.0
2,23.0,1.0,11.0,4.0,3.0,1.0
2,23.0,2.0,15.0,4.0,3.0,1.0
1,12.0,1.0,12.0,4.0,3.0,2.0
3,34.0,1.0,12.0,4.0,3.0,3.0
2,21.0,1.0,7.0,4.0,3.0,1.0
1,13.0,2.0,13.0,4.0,3.0,3.0
1,13.0,2.0,7.0,4.0,2.0,4.0
2,21.0,1.0,12.0,4.0,3.0,1.0
2,21.0,1.0,14.0,4.0,3.0,2.0
2,23.0,2.0,2.0,4.0,3.0,1.0
1,13.0,1.0,17.0,4.0,3.0,1.0
2,21.0,1.0,10.0,4.0,4.0,1.0
2,22.0,1.0,5.0,4.0,3.0,1.0
2,23.0,1.0,7.0,4.0,3.0,2.0
2,22.0,1.0,17.0,4.0,3.0,2.0
2,21.0,2.0,17.0,4.0,3.0,2.0
2,22.0,1.0,17.0,4.0,3.0,3.0
2,22.0,1.0,6.0,4.0,3.0,1.0
3,34.0,1.0,12.0,4.0,3.0,1.0
2,23.0,1.0,8.0,4.0,3.0,1.0
2,23.0,2.0,14.0,4.0,3.0,1.0
2,21.0,1.0,10.0,4.0,4.0,2.0
2,21.0,1.0,15.0,4.0,3.0,3.0
2,21.0,1.0,3.0,4.0,3.0,4.0
2,21.0,1.0,2.0,4.0,3.0,3.0
3,32.0,2.0,5.0,4.0,3.0,2.0
2,23.0,1.0,6.0,4.0,3.0,1.0
2,22.0,1.0,6.0,4.0,3.0,4.0
2,21.0,1.0,13.0,4.0,3.0,2.0
3,31.0,1.0,2.0,4.0,3.0,3.0
3,35.0,1.0,7.0,4.0,3.0,2.0
2,23.0,1.0,7.0,4.0,3.0,1.0
2,24.0,1.0,5.0,4.0,3.0,1.0
2,21.0,2.0,17.0,4.0,3.0,1.0
3,32.0,1.0,3.0,4.0,3.0,1.0
2,23.0,1.0,13.0,4.0,3.0,3.0
3,34.0,1.0,15.0,4.0,3.0,3.0
1,11.0,2.0,15.0,4.0,3.0,1.0
2,23.0,1.0,16.0,4.0,3.0,3.0
2,25.0,1.0,17.0,4.0,3.0,1.0
2,22.0,1.0,5.0,4.0,3.0,1.0
2,23.0,2.0,2.0,4.0,3.0,2.0
1,13.0,2.0,5.0,4.0,3.0,1.0
3,31.0,1.0,7.0,4.0,3.0,2.0
1,11.0,1.0,5.0,4.0,3.0,1.0
3,31.0,1.0,15.0,4.0,3.0,1.0
3,31.0,2.0,5.0,4.0,3.0,1.0
2,21.0,1.0,11.0,4.0,3.0,3.0
1,13.0,2.0,7.0,4.0,1.0,1.0
2,21.0,1.0,5.0,4.0,3.0,1.0
1,12.0,1.0,5.0,4.0,3.0,1.0
3,34.0,1.0,17.0,4.0,3.0,2.0
2,21.0,1.0,3.0,4.0,3.0,1.0
1,13.0,2.0,8.0,4.0,3.0,3.0
2,22.0,1.0,11.0,4.0,3.0,2.0
2,22.0,2.0,7.0,4.0,3.0,1.0
2,22.0,1.0,17.0,4.0,3.0,1.0
2,21.0,1.0,5.0,4.0,3.0,1.0
2,22.0,1.0,6.0,4.0,3.0,4.0
2,24.0,2.0,15.0,4.0,3.0,1.0
2,21.0,1.0,7.0,4.0,3.0,2.0
2,21.0,1.0,10.0,4.0,3.0,1.0
2,22.0,1.0,4.0,4.0,3.0,1.0
2,23.0,2.0,11.0,4.0,3.0,2.0
2,23.0,2.0,5.0,4.0,3.0,1.0
1,11.0,1.0,5.0,4.0,3.0,1.0
3,34.0,1.0,14.0,4.0,3.0,1.0
2,21.0,1.0,10.0,4.0,3.0,1.0
1,13.0,2.0,16.0,4.0,1.0,2.0
2,21.0,2.0,10.0,4.0,3.0,4.0
2,21.0,1.0,11.0,4.0,3.0,3.0
2,22.0,1.0,16.0,4.0,3.0,2.0
2,23.0,2.0,10.0,4.0,3.0,1.0
2,23.0,1.0,15.0,4.0,3.0,2.0
2,21.0,1.0,7.0,4.0,3.0,4.0
2,23.0,1.0,14.0,4.0,4.0,4.0
2,21.0,1.0,5.0,4.0,3.0,3.0
3,35.0,2.0,6.0,4.0,3.0,2.0
2,22.0,1.0,15.0,4.0,3.0,1.0
2,21.0,1.0,11.0,4.0,3.0,4.0
3,35.0,2.0,17.0,4.0,3.0,1.0
2,22.0,1.0,2.0,4.0,3.0,3.0
2,23.0,1.0,9.0,4.0,3.0,1.0
2,23.0,2.0,7.0,4.0,3.0,1.0
2,21.0,1.0,11.0,4.0,3.0,2.0
2,21.0,1.0,14.0,4.0,3.0,2.0
2,22.0,1.0,17.0,4.0,3.0,1.0
2,21.0,1.0,7.0,4.0,3.0,3.0
3,34.0,1.0,16.0,4.0,3.0,4.0
3,34.0,1.0,5.0,4.0,3.0,1.0
3,34.0,1.0,17.0,4.0,3.0,3.0
3,34.0,1.0,5.0,4.0,3.0,3.0
1,11.0,1.0,8.0,4.0,3.0,1.0
2,23.0,1.0,7.0,4.0,3.0,4.0
2,21.0,1.0,2.0,4.0,3.0,2.0
2,21.0,1.0,15.0,4.0,3.0,3.0
1,12.0,1.0,16.0,4.0,3.0,1.0
2,23.0,1.0,5.0,4.0,3.0,1.0
2,21.0,1.0,2.0,4.0,3.0,1.0
2,22.0,1.0,14.0,4.0,3.0,1.0
2,23.0,2.0,3.0,4.0,3.0,1.0
2,23.0,2.0,7.0,4.0,3.0,1.0
2,23.0,2.0,17.0,4.0,3.0,1.0
3,31.0,1.0,7.0,4.0,3.0,2.0
2,23.0,2.0,15.0,4.0,3.0,3.0
2,23.0,1.0,12.0,4.0,3.0,1.0
2,23.0,2.0,15.0,4.0,3.0,2.0
3,34.0,1.0,7.0,4.0,3.0,4.0
2,23.0,1.0,15.0,4.0,3.0,3.0
1,11.0,2.0,7.0,4.0,3.0,1.0
2,24.0,1.0,13.0,4.0,1.0,2.0
2,21.0,1.0,3.0,4.0,3.0,2.0
2,21.0,1.0,5.0,4.0,3.0,1.0
2,21.0,1.0,2.0,4.0,3.0,4.0
2,21.0,1.0,5.0,4.0,3.0,2.0
1,12.0,1.0,2.0,4.0,3.0,1.0
2,22.0,1.0,16.0,4.0,3.0,1.0
2,23.0,1.0,7.0,4.0,3.0,1.0
2,21.0,1.0,7.0,4.0,3.0,4.0
3,34.0,1.0,5.0,4.0,3.0,1.0
3,34.0,1.0,15.0,4.0,3.0,1.0
2,21.0,2.0,5.0,4.0,3.0,3.0
2,22.0,1.0,6.0,4.0,3.0,4.0
2,23.0,1.0,5.0,4.0,3.0,4.0
2,23.0,1.0,5.0,4.0,3.0,1.0
2,23.0,1.0,3.0,4.0,3.0,1.0
3,31.0,2.0,15.0,4.0,3.0,3.0
2,22.0,1.0,5.0,4.0,3.0,4.0
2,23.0,1.0,7.0,4.0,3.0,1.0
2,23.0,1.0,7.0,4.0,3.0,1.0
2,23.0,2.0,13.0,4.0,3.0,1.0
2,23.0,2.0,8.0,4.0,3.0,1.0
2,22.0,1.0,6.0,4.0,3.0,4.0
2,22.0,1.0,15.0,4.0,3.0,1.0
2,22.0,1.0,5.0,4.0,3.0,1.0
2,22.0,1.0,7.0,4.0,3.0,3.0
2,21.0,2.0,14.0,4.0,3.0,3.0
2,21.0,2.0,3.0,4.0,3.0,1.0
2,22.0,1.0,5.0,4.0,3.0,4.0
2,23.0,1.0,10.0,4.0,3.0,1.0
2,22.0,1.0,5.0,4.0,3.0,3.0
2,23.0,1.0,10.0,4.0,3.0,3.0
2,23.0,2.0,14.0,4.0,3.0,1.0
2,21.0,1.0,12.0,4.0,3.0,4.0
2,23.0,2.0,6.0,4.0,3.0,2.0
2,21.0,1.0,7.0,4.0,3.0,3.0
2,21.0,1.0,6.0,4.0,3.0,1.0
2,21.0,2.0,12.0,4.0,3.0,2.0
2,23.0,2.0,3.0,4.0,3.0,1.0
2,23.0,1.0,15.0,4.0,3.0,1.0
3,34.0,1.0,7.0,4.0,3.0,4.0
2,23.0,1.0,6.0,4.0,3.0,3.0
2,21.0,1.0,5.0,4.0,3.0,2.0
2,23.0,1.0,15.0,4.0,3.0,4.0
2,23.0,1.0,7.0,4.0,3.0,1.0
2,23.0,1.0,16.0,4.0,3.0,4.0
2,21.0,1.0,3.0,4.0,3.0,4.0
1,11.0,2.0,4.0,4.0,3.0,1.0
2,21.0,1.0,14.0,4.0,3.0,2.0
2,21.0,1.0,13.0,4.0,2.0,3.0
2,21.0,1.0,3.0,4.0,3.0,2.0
1,13.0,2.0,17.0,4.0,3.0,1.0
2,23.0,2.0,12.0,4.0,3.0,1.0
2,23.0,1.0,17.0,4.0,3.0,1.0
2,23.0,1.0,7.0,4.0,3.0,2.0
2,23.0,1.0,5.0,4.0,3.0,1.0
2,21.0,1.0,14.0,4.0,3.0,2.0
3,34.0,1.0,12.0,4.0,3.0,1.0
2,23.0,2.0,3.0,4.0,3.0,1.0
2,23.0,1.0,6.0,4.0,3.0,1.0
2,23.0,1.0,5.0,4.0,3.0,1.0
2,23.0,1.0,6.0,4.0,3.0,1.0
2,23.0,2.0,16.0,4.0,3.0,1.0
